instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,day_of_week,hour_of_day,season_name,weather_condition,casual_pct,registered_pct,usage_level,user_cluster,weather_group,behavior_cluster,demand_level,rush_category,TimeCluster
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,2011,1,1,Saturday,0,Spring,Cerah,18.75,81.25,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4546,2011-07-13,3,0,7,7,0,3,1,1,0.76,0.697,0.55,0.2537,32,281,313,2011,7,13,Wednesday,7,Fall,Cerah,10.223642172523961,89.77635782747603,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4547,2011-07-13,3,0,7,8,0,3,1,1,0.8,0.7424,0.49,0.2537,31,418,449,2011,7,13,Wednesday,8,Fall,Cerah,6.904231625835189,93.0957683741648,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4548,2011-07-13,3,0,7,9,0,3,1,1,0.82,0.7424,0.41,0.194,23,163,186,2011,7,13,Wednesday,9,Fall,Cerah,12.365591397849462,87.63440860215054,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
4549,2011-07-13,3,0,7,10,0,3,1,1,0.82,0.7576,0.46,0.194,33,80,113,2011,7,13,Wednesday,10,Fall,Cerah,29.20353982300885,70.79646017699115,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4550,2011-07-13,3,0,7,11,0,3,1,1,0.84,0.7424,0.39,0.1642,55,110,165,2011,7,13,Wednesday,11,Fall,Cerah,33.33333333333333,66.66666666666666,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4551,2011-07-13,3,0,7,12,0,3,1,1,0.84,0.7576,0.41,0.2836,40,134,174,2011,7,13,Wednesday,12,Fall,Cerah,22.988505747126435,77.01149425287356,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4552,2011-07-13,3,0,7,13,0,3,1,3,0.82,0.7576,0.46,0.1343,39,119,158,2011,7,13,Wednesday,13,Fall,Hujan Ringan,24.68354430379747,75.31645569620254,Medium,Registered Dominant,Bad Weather,Medium | Registered Dominant | Bad Weather,Medium,Non-Rush Hour,Leisure Time
4553,2011-07-13,3,0,7,14,0,3,1,3,0.82,0.7576,0.46,0.1343,27,89,116,2011,7,13,Wednesday,14,Fall,Hujan Ringan,23.275862068965516,76.72413793103449,Medium,Registered Dominant,Bad Weather,Medium | Registered Dominant | Bad Weather,Medium,Non-Rush Hour,Leisure Time
4554,2011-07-13,3,0,7,15,0,3,1,3,0.64,0.5606,0.94,0.1343,13,33,46,2011,7,13,Wednesday,15,Fall,Hujan Ringan,28.26086956521739,71.73913043478261,Low,Registered Dominant,Bad Weather,Low | Registered Dominant | Bad Weather,Low,Non-Rush Hour,Leisure Time
4555,2011-07-13,3,0,7,16,0,3,1,2,0.66,0.5909,0.89,0.0,23,118,141,2011,7,13,Wednesday,16,Fall,Berawan,16.312056737588655,83.68794326241135,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4556,2011-07-13,3,0,7,17,0,3,1,1,0.7,0.6667,0.79,0.0,70,418,488,2011,7,13,Wednesday,17,Fall,Cerah,14.344262295081966,85.65573770491804,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4557,2011-07-13,3,0,7,18,0,3,1,1,0.72,0.697,0.79,0.1343,51,412,463,2011,7,13,Wednesday,18,Fall,Cerah,11.01511879049676,88.98488120950324,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4558,2011-07-13,3,0,7,19,0,3,1,1,0.7,0.6667,0.79,0.1045,79,340,419,2011,7,13,Wednesday,19,Fall,Cerah,18.85441527446301,81.14558472553699,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4559,2011-07-13,3,0,7,20,0,3,1,1,0.7,0.6667,0.84,0.1642,61,281,342,2011,7,13,Wednesday,20,Fall,Cerah,17.83625730994152,82.16374269005848,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Off Time
4560,2011-07-13,3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.1045,56,194,250,2011,7,13,Wednesday,21,Fall,Cerah,22.400000000000002,77.60000000000001,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Off Time
4561,2011-07-13,3,0,7,22,0,3,1,1,0.68,0.6364,0.83,0.194,48,136,184,2011,7,13,Wednesday,22,Fall,Cerah,26.08695652173913,73.91304347826086,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4562,2011-07-13,3,0,7,23,0,3,1,1,0.66,0.6061,0.83,0.2537,33,83,116,2011,7,13,Wednesday,23,Fall,Cerah,28.448275862068968,71.55172413793103,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4563,2011-07-14,3,0,7,0,0,4,1,1,0.66,0.6212,0.69,0.2985,14,32,46,2011,7,14,Thursday,0,Fall,Cerah,30.434782608695656,69.56521739130434,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4564,2011-07-14,3,0,7,1,0,4,1,1,0.66,0.6212,0.61,0.2537,4,21,25,2011,7,14,Thursday,1,Fall,Cerah,16.0,84.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4565,2011-07-14,3,0,7,2,0,4,1,1,0.64,0.6212,0.57,0.2985,3,7,10,2011,7,14,Thursday,2,Fall,Cerah,30.0,70.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4566,2011-07-14,3,0,7,3,0,4,1,1,0.62,0.6212,0.57,0.2985,1,5,6,2011,7,14,Thursday,3,Fall,Cerah,16.666666666666664,83.33333333333334,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4567,2011-07-14,3,0,7,4,0,4,1,1,0.62,0.6212,0.53,0.2537,0,6,6,2011,7,14,Thursday,4,Fall,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4568,2011-07-14,3,0,7,5,0,4,1,1,0.6,0.6212,0.56,0.2239,6,22,28,2011,7,14,Thursday,5,Fall,Cerah,21.428571428571427,78.57142857142857,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4569,2011-07-14,3,0,7,6,0,4,1,1,0.6,0.6061,0.6,0.2239,14,116,130,2011,7,14,Thursday,6,Fall,Cerah,10.76923076923077,89.23076923076924,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4570,2011-07-14,3,0,7,7,0,4,1,1,0.62,0.6212,0.53,0.2537,23,311,334,2011,7,14,Thursday,7,Fall,Cerah,6.88622754491018,93.11377245508982,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4571,2011-07-14,3,0,7,8,0,4,1,1,0.64,0.6212,0.5,0.3582,53,433,486,2011,7,14,Thursday,8,Fall,Cerah,10.905349794238683,89.09465020576131,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4572,2011-07-14,3,0,7,9,0,4,1,1,0.68,0.6364,0.47,0.2836,29,195,224,2011,7,14,Thursday,9,Fall,Cerah,12.946428571428573,87.05357142857143,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4573,2011-07-14,3,0,7,10,0,4,1,1,0.7,0.6364,0.42,0.2537,32,95,127,2011,7,14,Thursday,10,Fall,Cerah,25.196850393700785,74.80314960629921,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4574,2011-07-14,3,0,7,11,0,4,1,1,0.72,0.6515,0.37,0.2239,38,110,148,2011,7,14,Thursday,11,Fall,Cerah,25.675675675675674,74.32432432432432,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4575,2011-07-14,3,0,7,12,0,4,1,1,0.74,0.6515,0.35,0.2537,51,172,223,2011,7,14,Thursday,12,Fall,Cerah,22.869955156950674,77.13004484304933,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Leisure Time
4576,2011-07-14,3,0,7,13,0,4,1,1,0.76,0.6667,0.33,0.3284,39,138,177,2011,7,14,Thursday,13,Fall,Cerah,22.033898305084744,77.96610169491525,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4577,2011-07-14,3,0,7,14,0,4,1,1,0.74,0.6515,0.35,0.2836,49,129,178,2011,7,14,Thursday,14,Fall,Cerah,27.52808988764045,72.47191011235955,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4578,2011-07-14,3,0,7,15,0,4,1,1,0.76,0.6667,0.33,0.2985,42,138,180,2011,7,14,Thursday,15,Fall,Cerah,23.333333333333332,76.66666666666667,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4579,2011-07-14,3,0,7,16,0,4,1,1,0.76,0.6667,0.33,0.1343,43,231,274,2011,7,14,Thursday,16,Fall,Cerah,15.693430656934307,84.30656934306569,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Leisure Time
4580,2011-07-14,3,0,7,17,0,4,1,1,0.74,0.6515,0.37,0.1343,78,517,595,2011,7,14,Thursday,17,Fall,Cerah,13.109243697478993,86.89075630252101,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4581,2011-07-14,3,0,7,18,0,4,1,1,0.72,0.6515,0.42,0.194,94,484,578,2011,7,14,Thursday,18,Fall,Cerah,16.26297577854671,83.73702422145328,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4582,2011-07-14,3,0,7,19,0,4,1,1,0.72,0.6515,0.39,0.2239,67,333,400,2011,7,14,Thursday,19,Fall,Cerah,16.75,83.25,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4583,2011-07-14,3,0,7,20,0,4,1,1,0.7,0.6364,0.42,0.2239,81,267,348,2011,7,14,Thursday,20,Fall,Cerah,23.275862068965516,76.72413793103449,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Off Time
4584,2011-07-14,3,0,7,21,0,4,1,1,0.66,0.6212,0.5,0.1343,58,203,261,2011,7,14,Thursday,21,Fall,Cerah,22.22222222222222,77.77777777777779,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Off Time
4585,2011-07-14,3,0,7,22,0,4,1,1,0.64,0.6212,0.57,0.0896,42,134,176,2011,7,14,Thursday,22,Fall,Cerah,23.863636363636363,76.13636363636364,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4586,2011-07-14,3,0,7,23,0,4,1,1,0.64,0.6061,0.65,0.2537,27,97,124,2011,7,14,Thursday,23,Fall,Cerah,21.774193548387096,78.2258064516129,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4587,2011-07-15,3,0,7,0,0,5,1,1,0.62,0.5909,0.73,0.2239,23,57,80,2011,7,15,Friday,0,Fall,Cerah,28.749999999999996,71.25,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4588,2011-07-15,3,0,7,1,0,5,1,1,0.62,0.5909,0.73,0.194,7,13,20,2011,7,15,Friday,1,Fall,Cerah,35.0,65.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4589,2011-07-15,3,0,7,2,0,5,1,1,0.6,0.5758,0.78,0.1642,16,22,38,2011,7,15,Friday,2,Fall,Cerah,42.10526315789473,57.89473684210527,Low,Balanced,Good Weather,Low | Balanced | Good Weather,Low,Non-Rush Hour,Off Time
4590,2011-07-15,3,0,7,3,0,5,1,1,0.6,0.5909,0.73,0.194,1,6,7,2011,7,15,Friday,3,Fall,Cerah,14.285714285714285,85.71428571428571,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4591,2011-07-15,3,0,7,4,0,5,1,1,0.6,0.5909,0.73,0.1642,2,8,10,2011,7,15,Friday,4,Fall,Cerah,20.0,80.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4592,2011-07-15,3,0,7,5,0,5,1,1,0.6,0.5909,0.73,0.1343,7,16,23,2011,7,15,Friday,5,Fall,Cerah,30.434782608695656,69.56521739130434,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4593,2011-07-15,3,0,7,6,0,5,1,2,0.6,0.5909,0.73,0.1045,12,108,120,2011,7,15,Friday,6,Fall,Berawan,10.0,90.0,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4594,2011-07-15,3,0,7,7,0,5,1,1,0.64,0.6061,0.65,0.1045,17,257,274,2011,7,15,Friday,7,Fall,Cerah,6.204379562043796,93.7956204379562,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4595,2011-07-15,3,0,7,8,0,5,1,1,0.64,0.6061,0.65,0.2537,50,514,564,2011,7,15,Friday,8,Fall,Cerah,8.865248226950355,91.13475177304964,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4596,2011-07-15,3,0,7,9,0,5,1,1,0.68,0.6364,0.54,0.194,31,176,207,2011,7,15,Friday,9,Fall,Cerah,14.975845410628018,85.02415458937197,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
4597,2011-07-15,3,0,7,10,0,5,1,2,0.66,0.6212,0.61,0.1642,59,107,166,2011,7,15,Friday,10,Fall,Berawan,35.54216867469879,64.45783132530121,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4598,2011-07-15,3,0,7,11,0,5,1,1,0.7,0.6515,0.54,0.1343,73,137,210,2011,7,15,Friday,11,Fall,Cerah,34.76190476190476,65.23809523809524,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Leisure Time
4599,2011-07-15,3,0,7,12,0,5,1,1,0.7,0.6515,0.48,0.194,61,177,238,2011,7,15,Friday,12,Fall,Cerah,25.630252100840334,74.36974789915966,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Leisure Time
4600,2011-07-15,3,0,7,13,0,5,1,1,0.7,0.6515,0.54,0.194,85,162,247,2011,7,15,Friday,13,Fall,Cerah,34.41295546558704,65.58704453441295,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Leisure Time
4601,2011-07-15,3,0,7,14,0,5,1,1,0.7,0.6515,0.51,0.194,105,160,265,2011,7,15,Friday,14,Fall,Cerah,39.62264150943396,60.37735849056604,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Leisure Time
4602,2011-07-15,3,0,7,15,0,5,1,1,0.72,0.6515,0.45,0.1642,74,163,237,2011,7,15,Friday,15,Fall,Cerah,31.223628691983123,68.77637130801688,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Leisure Time
4603,2011-07-15,3,0,7,16,0,5,1,1,0.72,0.6667,0.51,0.194,96,265,361,2011,7,15,Friday,16,Fall,Cerah,26.59279778393352,73.40720221606648,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Leisure Time
4604,2011-07-15,3,0,7,17,0,5,1,1,0.74,0.6667,0.42,0.2537,104,483,587,2011,7,15,Friday,17,Fall,Cerah,17.717206132879046,82.28279386712096,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4605,2011-07-15,3,0,7,18,0,5,1,1,0.72,0.6515,0.45,0.2239,102,394,496,2011,7,15,Friday,18,Fall,Cerah,20.56451612903226,79.43548387096774,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4606,2011-07-15,3,0,7,19,0,5,1,1,0.7,0.6364,0.45,0.2239,114,280,394,2011,7,15,Friday,19,Fall,Cerah,28.934010152284262,71.06598984771574,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4607,2011-07-15,3,0,7,20,0,5,1,1,0.7,0.6515,0.51,0.2239,92,251,343,2011,7,15,Friday,20,Fall,Cerah,26.82215743440233,73.17784256559767,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Off Time
4608,2011-07-15,3,0,7,21,0,5,1,1,0.66,0.6212,0.54,0.1045,75,186,261,2011,7,15,Friday,21,Fall,Cerah,28.735632183908045,71.26436781609196,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Off Time
4609,2011-07-15,3,0,7,22,0,5,1,1,0.66,0.6212,0.57,0.2239,71,152,223,2011,7,15,Friday,22,Fall,Cerah,31.838565022421523,68.16143497757847,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Off Time
4610,2011-07-15,3,0,7,23,0,5,1,1,0.64,0.6212,0.61,0.1642,41,126,167,2011,7,15,Friday,23,Fall,Cerah,24.550898203592812,75.44910179640718,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4611,2011-07-16,3,0,7,0,0,6,0,1,0.62,0.6061,0.65,0.194,42,68,110,2011,7,16,Saturday,0,Fall,Cerah,38.18181818181819,61.81818181818181,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4612,2011-07-16,3,0,7,1,0,6,0,1,0.6,0.5909,0.69,0.1045,24,51,75,2011,7,16,Saturday,1,Fall,Cerah,32.0,68.0,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4613,2011-07-16,3,0,7,2,0,6,0,1,0.6,0.5909,0.73,0.1343,10,48,58,2011,7,16,Saturday,2,Fall,Cerah,17.24137931034483,82.75862068965517,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4614,2011-07-16,3,0,7,3,0,6,0,1,0.6,0.5758,0.78,0.1343,6,20,26,2011,7,16,Saturday,3,Fall,Cerah,23.076923076923077,76.92307692307693,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4615,2011-07-16,3,0,7,4,0,6,0,1,0.6,0.5909,0.73,0.0896,9,7,16,2011,7,16,Saturday,4,Fall,Cerah,56.25,43.75,Low,Balanced,Good Weather,Low | Balanced | Good Weather,Low,Non-Rush Hour,Off Time
4616,2011-07-16,3,0,7,5,0,6,0,1,0.58,0.5455,0.78,0.0896,4,6,10,2011,7,16,Saturday,5,Fall,Cerah,40.0,60.0,Low,Balanced,Good Weather,Low | Balanced | Good Weather,Low,Non-Rush Hour,Off Time
4617,2011-07-16,3,0,7,6,0,6,0,1,0.6,0.5758,0.78,0.1642,16,21,37,2011,7,16,Saturday,6,Fall,Cerah,43.24324324324324,56.75675675675676,Low,Balanced,Good Weather,Low | Balanced | Good Weather,Low,Non-Rush Hour,Off Time
4618,2011-07-16,3,0,7,7,0,6,0,1,0.62,0.5909,0.73,0.1343,14,38,52,2011,7,16,Saturday,7,Fall,Cerah,26.923076923076923,73.07692307692307,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Rush Hour,Commute Time
4619,2011-07-16,3,0,7,8,0,6,0,1,0.66,0.6212,0.65,0.1642,37,90,127,2011,7,16,Saturday,8,Fall,Cerah,29.133858267716533,70.86614173228347,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
4620,2011-07-16,3,0,7,9,0,6,0,1,0.7,0.6515,0.54,0.2239,72,150,222,2011,7,16,Saturday,9,Fall,Cerah,32.432432432432435,67.56756756756756,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Rush Hour,Commute Time
4621,2011-07-16,3,0,7,10,0,6,0,1,0.72,0.6667,0.54,0.194,114,208,322,2011,7,16,Saturday,10,Fall,Cerah,35.40372670807454,64.59627329192547,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Leisure Time
4622,2011-07-16,3,0,7,11,0,6,0,1,0.74,0.6667,0.48,0.2239,171,225,396,2011,7,16,Saturday,11,Fall,Cerah,43.18181818181818,56.81818181818182,High,Balanced,Good Weather,High | Balanced | Good Weather,High,Non-Rush Hour,Leisure Time
4623,2011-07-16,3,0,7,12,0,6,0,1,0.76,0.6818,0.43,0.2836,187,276,463,2011,7,16,Saturday,12,Fall,Cerah,40.38876889848812,59.611231101511876,High,Balanced,Good Weather,High | Balanced | Good Weather,High,Non-Rush Hour,Leisure Time
4624,2011-07-16,3,0,7,13,0,6,0,1,0.76,0.6818,0.45,0.2985,221,276,497,2011,7,16,Saturday,13,Fall,Cerah,44.46680080482898,55.53319919517102,High,Balanced,Good Weather,High | Balanced | Good Weather,High,Non-Rush Hour,Leisure Time
4625,2011-07-16,3,0,7,14,0,6,0,1,0.74,0.6667,0.45,0.2985,201,232,433,2011,7,16,Saturday,14,Fall,Cerah,46.4203233256351,53.5796766743649,High,Balanced,Good Weather,High | Balanced | Good Weather,High,Non-Rush Hour,Leisure Time
4626,2011-07-16,3,0,7,15,0,6,0,1,0.76,0.6818,0.45,0.3284,205,223,428,2011,7,16,Saturday,15,Fall,Cerah,47.89719626168225,52.10280373831776,High,Balanced,Good Weather,High | Balanced | Good Weather,High,Non-Rush Hour,Leisure Time
4627,2011-07-16,3,0,7,16,0,6,0,1,0.76,0.6818,0.45,0.2836,183,242,425,2011,7,16,Saturday,16,Fall,Cerah,43.05882352941177,56.94117647058824,High,Balanced,Good Weather,High | Balanced | Good Weather,High,Non-Rush Hour,Leisure Time
4628,2011-07-16,3,0,7,17,0,6,0,1,0.76,0.6818,0.45,0.2239,234,241,475,2011,7,16,Saturday,17,Fall,Cerah,49.26315789473684,50.73684210526316,High,Balanced,Good Weather,High | Balanced | Good Weather,High,Rush Hour,Commute Time
4629,2011-07-16,3,0,7,18,0,6,0,1,0.76,0.6818,0.45,0.2836,185,243,428,2011,7,16,Saturday,18,Fall,Cerah,43.22429906542056,56.77570093457944,High,Balanced,Good Weather,High | Balanced | Good Weather,High,Rush Hour,Commute Time
4630,2011-07-16,3,0,7,19,0,6,0,1,0.74,0.6818,0.48,0.194,164,242,406,2011,7,16,Saturday,19,Fall,Cerah,40.39408866995074,59.60591133004927,High,Balanced,Good Weather,High | Balanced | Good Weather,High,Rush Hour,Commute Time
4631,2011-07-16,3,0,7,20,0,6,0,1,0.72,0.6667,0.51,0.2239,108,188,296,2011,7,16,Saturday,20,Fall,Cerah,36.486486486486484,63.51351351351351,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Off Time
4632,2011-07-16,3,0,7,21,0,6,0,1,0.7,0.6515,0.58,0.2239,85,167,252,2011,7,16,Saturday,21,Fall,Cerah,33.730158730158735,66.26984126984127,High,Registered Dominant,Good Weather,High | Registered Dominant | Good Weather,High,Non-Rush Hour,Off Time
4633,2011-07-16,3,0,7,22,0,6,0,1,0.7,0.6515,0.65,0.2836,65,136,201,2011,7,16,Saturday,22,Fall,Cerah,32.33830845771145,67.66169154228857,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4634,2011-07-16,3,0,7,23,0,6,0,1,0.68,0.6364,0.61,0.2239,61,107,168,2011,7,16,Saturday,23,Fall,Cerah,36.30952380952381,63.69047619047619,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4635,2011-07-17,3,0,7,0,0,0,0,1,0.66,0.6212,0.65,0.2239,34,91,125,2011,7,17,Sunday,0,Fall,Cerah,27.200000000000003,72.8,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4636,2011-07-17,3,0,7,1,0,0,0,1,0.64,0.6061,0.69,0.194,16,86,102,2011,7,17,Sunday,1,Fall,Cerah,15.686274509803921,84.31372549019608,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4637,2011-07-17,3,0,7,2,0,0,0,1,0.64,0.6061,0.69,0.2239,28,66,94,2011,7,17,Sunday,2,Fall,Cerah,29.78723404255319,70.2127659574468,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Non-Rush Hour,Off Time
4638,2011-07-17,3,0,7,3,0,0,0,1,0.64,0.6061,0.69,0.2239,21,26,47,2011,7,17,Sunday,3,Fall,Cerah,44.680851063829785,55.319148936170215,Low,Balanced,Good Weather,Low | Balanced | Good Weather,Low,Non-Rush Hour,Off Time
4639,2011-07-17,3,0,7,4,0,0,0,1,0.62,0.5909,0.73,0.1642,4,6,10,2011,7,17,Sunday,4,Fall,Cerah,40.0,60.0,Low,Balanced,Good Weather,Low | Balanced | Good Weather,Low,Non-Rush Hour,Off Time
4640,2011-07-17,3,0,7,5,0,0,0,1,0.64,0.6061,0.69,0.2239,4,8,12,2011,7,17,Sunday,5,Fall,Cerah,33.33333333333333,66.66666666666666,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4641,2011-07-17,3,0,7,6,0,0,0,1,0.62,0.5909,0.73,0.1642,10,11,21,2011,7,17,Sunday,6,Fall,Cerah,47.61904761904761,52.38095238095239,Low,Balanced,Good Weather,Low | Balanced | Good Weather,Low,Non-Rush Hour,Off Time
4642,2011-07-17,3,0,7,7,0,0,0,1,0.64,0.6061,0.73,0.1642,20,30,50,2011,7,17,Sunday,7,Fall,Cerah,40.0,60.0,Low,Balanced,Good Weather,Low | Balanced | Good Weather,Low,Rush Hour,Commute Time
4643,2011-07-17,3,0,7,8,0,0,0,1,0.68,0.6364,0.65,0.2239,45,73,118,2011,7,17,Sunday,8,Fall,Cerah,38.13559322033898,61.86440677966102,Medium,Registered Dominant,Good Weather,Medium | Registered Dominant | Good Weather,Medium,Rush Hour,Commute Time
4644,2011-07-17,3,0,7,9,0,0,0,1,0.72,0.6667,0.58,0.2239,74,110,184,2011,7,17,Sunday,9,Fall,Cerah,40.21739130434783,59.78260869565217,Medium,Balanced,Good Weather,Medium | Balanced | Good Weather,Medium,Rush Hour,Commute Time
